  #energy          xx             yy              zz              xy              yz              zx
  0.33806000E+01  0.35604215E+01  0.35604215E+01  0.35604215E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33944000E+01  0.35666231E+01  0.35666231E+01  0.35666231E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34081000E+01  0.35720085E+01  0.35720085E+01  0.35720085E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34219000E+01  0.35794532E+01  0.35794532E+01  0.35794532E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34356000E+01  0.35851294E+01  0.35851294E+01  0.35851294E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34493000E+01  0.35906759E+01  0.35906759E+01  0.35906759E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34631000E+01  0.35977877E+01  0.35977877E+01  0.35977877E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34768000E+01  0.36024480E+01  0.36024480E+01  0.36024480E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34906000E+01  0.36077592E+01  0.36077592E+01  0.36077592E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35043000E+01  0.36101030E+01  0.36101030E+01  0.36101030E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35181000E+01  0.36128006E+01  0.36128006E+01  0.36128006E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35318000E+01  0.36121578E+01  0.36121578E+01  0.36121578E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35456000E+01  0.36116082E+01  0.36116082E+01  0.36116082E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35593000E+01  0.36072319E+01  0.36072319E+01  0.36072319E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35731000E+01  0.36024567E+01  0.36024567E+01  0.36024567E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35868000E+01  0.35931287E+01  0.35931287E+01  0.35931287E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36006000E+01  0.35828322E+01  0.35828322E+01  0.35828322E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36143000E+01  0.35674877E+01  0.35674877E+01  0.35674877E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36281000E+01  0.35511913E+01  0.35511913E+01  0.35511913E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36418000E+01  0.35297461E+01  0.35297461E+01  0.35297461E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36555000E+01  0.35061934E+01  0.35061934E+01  0.35061934E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36693000E+01  0.34838643E+01  0.34838643E+01  0.34838643E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36830000E+01  0.34588707E+01  0.34588707E+01  0.34588707E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36968000E+01  0.34364268E+01  0.34364268E+01  0.34364268E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37105000E+01  0.34129555E+01  0.34129555E+01  0.34129555E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37243000E+01  0.33937001E+01  0.33937001E+01  0.33937001E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37380000E+01  0.33748241E+01  0.33748241E+01  0.33748241E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37518000E+01  0.33615510E+01  0.33615510E+01  0.33615510E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
