   #Energy      xx(%)           yy(%)
   9.786      0.9950E+02      0.9950E+02
   9.804      0.9949E+02      0.9949E+02
   9.822      0.9949E+02      0.9949E+02
   9.840      0.9949E+02      0.9949E+02
   9.859      0.9949E+02      0.9949E+02
   9.877      0.9948E+02      0.9948E+02
   9.895      0.9948E+02      0.9948E+02
   9.914      0.9948E+02      0.9948E+02
   9.932      0.9948E+02      0.9948E+02
   9.950      0.9947E+02      0.9947E+02
   9.968      0.9947E+02      0.9947E+02
   9.987      0.9947E+02      0.9947E+02
  10.005      0.9946E+02      0.9946E+02
  10.023      0.9946E+02      0.9946E+02
  10.042      0.9945E+02      0.9945E+02
  10.060      0.9945E+02      0.9945E+02
  10.078      0.9945E+02      0.9945E+02
  10.097      0.9944E+02      0.9944E+02
  10.115      0.9944E+02      0.9944E+02
  10.133      0.9943E+02      0.9943E+02
  10.151      0.9943E+02      0.9943E+02
  10.170      0.9942E+02      0.9942E+02
  10.188      0.9941E+02      0.9941E+02
  10.206      0.9941E+02      0.9941E+02
  10.225      0.9940E+02      0.9940E+02
  10.243      0.9939E+02      0.9939E+02
  10.261      0.9939E+02      0.9939E+02
  10.279      0.9938E+02      0.9938E+02
  10.298      0.9937E+02      0.9937E+02
  10.316      0.9936E+02      0.9936E+02
  10.334      0.9935E+02      0.9935E+02
  10.352      0.9935E+02      0.9935E+02
  10.371      0.9933E+02      0.9933E+02
  10.389      0.9932E+02      0.9932E+02
  10.407      0.9931E+02      0.9931E+02
  10.426      0.9930E+02      0.9930E+02
  10.444      0.9929E+02      0.9929E+02
  10.462      0.9928E+02      0.9928E+02
  10.481      0.9926E+02      0.9926E+02
  10.499      0.9925E+02      0.9925E+02
  10.517      0.9923E+02      0.9923E+02
  10.535      0.9922E+02      0.9922E+02
  10.554      0.9920E+02      0.9920E+02
  10.572      0.9918E+02      0.9918E+02
  10.590      0.9916E+02      0.9916E+02
  10.609      0.9914E+02      0.9914E+02
  10.627      0.9912E+02      0.9912E+02
  10.645      0.9910E+02      0.9910E+02
  10.664      0.9907E+02      0.9907E+02
  10.682      0.9905E+02      0.9905E+02
  10.700      0.9902E+02      0.9902E+02
  10.718      0.9899E+02      0.9899E+02
  10.737      0.9896E+02      0.9896E+02
  10.755      0.9893E+02      0.9893E+02
  10.773      0.9890E+02      0.9890E+02
  10.791      0.9886E+02      0.9886E+02
  10.810      0.9883E+02      0.9883E+02
